training_base,testing_base,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy,overall_accuracy,corruption_type
9,10,0.95,0.66431718061674,0.9854651162790696,0.9445544554455444,0.9266802443991852,0.90695067264574,0.872651356993737,0.8745136186770428,0.969199178644764,0.8394449950445986,0.8901,impulse_noise
5,10,0.9755102040816328,0.9154185022026432,0.9718992248062016,0.9910891089108912,0.8564154786150713,0.8475336322869955,0.9603340292275574,0.9250972762645916,0.9096509240246408,0.8870168483647175,0.9248,impulse_noise
10,10,0.9683673469387756,0.7568281938325991,0.8953488372093024,0.9722772277227724,0.910386965376782,0.9484304932735426,0.9331941544885176,0.830739299610895,0.9804928131416838,0.846382556987116,0.9011,impulse_noise
7,10,0.9744897959183674,0.5859030837004405,0.9437984496124032,0.9574257425742574,0.920570264765784,0.9585201793721974,0.9227557411273486,0.9474708171206224,0.9743326488706364,0.8255698711595639,0.896,impulse_noise
3,10,0.979591836734694,0.9577092511013215,0.9612403100775194,0.9633663366336632,0.9663951120162932,0.9484304932735426,0.9582463465553236,0.9766536964980544,0.9661190965092402,0.8850346878097126,0.9563,impulse_noise
6,10,0.9785714285714284,0.9118942731277532,0.9709302325581396,0.9702970297029704,0.9490835030549898,0.9573991031390134,0.9676409185803758,0.867704280155642,0.9640657084188912,0.869177403369673,0.9397,impulse_noise
99,10,0.946938775510204,0.811453744493392,0.9893410852713178,0.9811881188118812,0.9460285132382892,0.9248878923766816,0.9321503131524008,0.632295719844358,0.9517453798767967,0.9613478691774032,0.9055,impulse_noise
4,10,0.9683673469387756,0.9022026431718062,0.9796511627906976,0.9851485148514852,0.9531568228105908,0.9136771300448432,0.9488517745302714,0.9027237354085604,0.9496919917864476,0.9514370664023786,0.9452,impulse_noise
2,10,0.9816326530612244,0.9004405286343612,0.9050387596899224,0.9653465346534652,0.9389002036659878,0.8923766816143498,0.9613778705636744,0.9620622568093384,0.969199178644764,0.9395441030723488,0.9413,impulse_noise
999,10,0.9877551020408164,0.9004405286343612,0.9903100775193798,0.986138613861386,0.9674134419551936,0.9641255605381166,0.964509394572025,0.9562256809338522,0.9804928131416838,0.9435084241823588,0.9632,impulse_noise
8,10,0.9908163265306122,0.8775330396475771,0.9505813953488372,0.9712871287128712,0.9470468431771896,0.8688340807174888,0.9133611691022964,0.946498054474708,0.971252566735113,0.8325074331020813,0.9268,glass_blur
9,10,0.9897959183673468,0.8819383259911894,0.9786821705426356,0.9544554455445544,0.960285132382892,0.8968609865470852,0.94258872651357,0.8929961089494164,0.969199178644764,0.7829534192269574,0.9243,glass_blur
5,10,0.9846938775510204,0.986784140969163,0.9825581395348836,0.9722772277227724,0.9154786150712833,0.8094170403587444,0.964509394572025,0.9367704280155642,0.9671457905544149,0.9008919722497524,0.944,glass_blur
10,10,0.9816326530612244,0.9365638766519824,0.935077519379845,0.9504950495049505,0.9725050916496945,0.9035874439461884,0.9572025052192068,0.8336575875486382,0.9650924024640656,0.7888999008919723,0.9221,glass_blur
7,10,0.9806122448979592,0.6819383259911894,0.9282945736434108,0.9386138613861386,0.9134419551934828,0.938340807174888,0.9133611691022964,0.8959143968871596,0.9804928131416838,0.688800792864222,0.8821,glass_blur
3,10,0.9857142857142858,0.9947136563876652,0.9418604651162792,0.9623762376237625,0.979633401221996,0.7993273542600897,0.9665970772442588,0.9552529182879378,0.9476386036960984,0.8543111992071358,0.9407,glass_blur
6,10,0.9846938775510204,0.9718061674008812,0.9554263565891472,0.9495049504950496,0.9837067209775968,0.905829596412556,0.9697286012526096,0.8414396887159533,0.957905544147844,0.7353815659068385,0.9256,glass_blur
99,10,0.979591836734694,0.9083700440528636,0.993217054263566,0.9752475247524752,0.9093686354378818,0.9024663677130044,0.92901878914405,0.6118677042801557,0.9517453798767967,0.9672943508424182,0.9121,glass_blur
4,10,0.9897959183673468,0.9859030837004406,0.9680232558139537,0.9544554455445544,0.9613034623217924,0.8822869955156951,0.9613778705636744,0.872568093385214,0.9517453798767967,0.9038652130822596,0.944,glass_blur
2,10,0.9826530612244898,0.73215859030837,0.8943798449612403,0.9297029702970298,0.9429735234215886,0.6367713004484304,0.9457202505219208,0.938715953307393,0.9558521560574949,0.8553022794846382,0.8815,glass_blur
999,10,0.9928571428571428,0.9682819383259912,0.9738372093023256,0.9792079207920792,0.9745417515274948,0.9159192825112108,0.9665970772442588,0.946498054474708,0.9794661190965092,0.912784935579782,0.9614,glass_blur
8,10,0.9857142857142858,0.945374449339207,0.9825581395348836,0.9742574257425742,0.9226069246435844,0.9630044843049328,0.8966597077244259,0.965953307392996,0.957905544147844,0.9554013875123883,0.9551,motion_blur
9,10,0.9663265306122448,0.9286343612334802,0.9864341085271318,0.9653465346534652,0.9368635437881874,0.9730941704035876,0.8705636743215032,0.919260700389105,0.9342915811088296,0.9286422200198216,0.9408,motion_blur
5,10,0.8734693877551021,0.9841409691629956,0.9796511627906976,0.9702970297029704,0.860488798370672,0.9271300448430492,0.954070981210856,0.9484435797665368,0.9332648870636552,0.8969276511397423,0.9339,motion_blur
10,10,0.786734693877551,0.970044052863436,0.9321705426356588,0.9712871287128712,0.960285132382892,0.9035874439461884,0.9436325678496869,0.9163424124513618,0.8963039014373717,0.9098116947472744,0.9201,motion_blur
7,10,0.95,0.9488986784140968,0.9738372093023256,0.9445544554455444,0.9093686354378818,0.9775784753363228,0.9227557411273486,0.9737354085603112,0.8973305954825462,0.8622398414271556,0.9361,motion_blur
3,10,0.9591836734693876,0.9911894273127754,0.9689922480620154,0.9366336633663368,0.9266802443991852,0.9405829596412556,0.9686847599164928,0.953307392996109,0.944558521560575,0.931615460852329,0.9528,motion_blur
